X,Y,Ori,Velo,
125.45,0.00,0.00,22.52,
132.95,0.00,0.00,22.52,
140.45,0.00,0.00,22.52,
147.95,0.00,0.00,22.52,
155.45,0.00,0.00,22.52,
162.95,0.00,0.00,22.52,
170.45,0.00,0.00,22.52,
177.95,0.00,0.00,22.52,
185.45,0.00,0.00,22.52,
192.95,0.00,0.00,22.52,
200.45,0.00,0.00,22.52,
207.95,0.00,0.00,22.52,
215.45,0.00,0.00,22.52,
222.95,0.00,0.00,22.52,
230.45,0.00,0.00,22.52,
237.95,0.00,0.00,22.52,
245.45,0.00,0.00,22.52,
252.95,0.00,0.00,22.52,
260.45,0.00,0.00,22.52,
267.95,0.00,0.00,22.52,
275.45,0.00,0.00,22.52,
282.95,0.00,0.00,22.52,
290.45,0.00,0.00,22.52,
297.95,0.00,0.00,22.52,
305.45,0.00,0.00,22.52,
312.95,0.00,0.00,22.52,
320.45,0.00,0.00,22.52,
327.95,0.00,0.00,22.52,
335.45,0.00,0.00,22.52,
342.95,0.00,0.00,22.52,
350.45,0.00,0.00,22.52,
357.95,0.00,0.00,22.52,
365.45,0.00,0.00,22.52,
372.95,0.00,0.00,22.52,
380.45,0.00,0.00,22.52,
387.95,0.00,0.00,21.65,
395.16,0.00,0.00,12.46,
399.31,0.00,0.00,0.00,
