Time,Distance,dTheta,QRToIMR_Theta, QRToIMR_X,QRToIMR_Y,InRange, LW_Vel,RW_Vel,Pose_x,Pose_y,Pose_Ori,QRPose_x,QRPose_y,QRPose_Ori
18.315,135.322105,-0.005067,-0.002936,-0.685749,135.322105,1,9.76165,9.010709,-192.145137,161.83328,-0.008254,-56.827642,160.030584,-0.01119
18.648,138.727544,-0.009154,0.000427,-1.26998,138.727544,1,10.538384,11.099616,-188.542533,161.803543,-0.004191,-49.816207,159.952124,-0.003764
18.981,142.204525,-0.010635,-0.003554,-1.512417,142.204525,1,11.589244,11.827804,-184.643629,161.787202,-0.002464,-42.439535,159.924354,-0.006018
19.314,145.077766,-0.011032,0.00585,-1.600629,145.077766,1,12.552634,12.612722,-180.453609,161.776876,-0.002029,-35.376142,159.881843,0.003821
19.647,147.798871,-0.011708,0.005605,-1.730555,147.798871,1,13.384409,13.545238,-175.969832,161.767777,-0.000865,-28.171017,159.909373,0.00474
19.98,150.44957,-0.00866,0.006197,-1.302959,150.44957,1,14.610282,14.25605,-171.16359,161.76362,-0.003429,-20.714905,159.944717,0.002768
20.313,152.708385,-0.010447,0.013811,-1.595346,152.708385,1,14.794047,15.099107,-166.186409,161.746551,-0.001221,-13.478138,159.964751,0.01259
20.646,154.631188,-0.006453,0.021239,-0.997777,154.631188,1,16.304809,15.860762,-160.830846,161.740012,-0.004435,-6.201179,160.056371,0.016804
20.979,156.441749,-0.003485,0.022891,-0.545163,156.441749,1,16.47077,16.207087,-155.390036,161.715879,-0.006344,1.048565,160.178204,0.016547
21.312,157.979786,-0.008741,0.000651,-1.380864,157.979786,1,16.51312,17.387686,-149.745665,161.680069,-0.000013,8.234121,160.297114,0.000638
21.645,152.309928,-0.009509,0.000208,-1.448328,152.309928,1,16.996049,17.057236,-144.075793,161.679994,0.00043,8.234121,160.297114,0.000638
21.978,147.081787,-0.006569,-0.068905,-0.966206,147.081787,1,15.928277,15.475471,-138.84707,161.682241,-0.002848,8.234121,160.297114,-0.071753
22.311,142.393814,-0.004566,-0.066685,-0.650168,142.393814,1,14.235051,13.928459,-134.157865,161.668885,-0.005068,8.234121,160.297114,-0.071753
22.644,145.405902,-0.007099,-0.041952,-1.032203,145.405902,1,13.049674,12.946762,-129.829514,161.64695,-0.005813,15.573932,159.769555,-0.047765
22.977,140.839543,-0.004574,-0.039198,-0.644217,140.839543,1,13.911436,13.530898,-125.260442,161.620391,-0.008567,15.573932,159.769555,-0.047765
23.31,136.817053,-0.009344,0.028559,-1.278511,136.817053,1,11.747446,12.387843,-121.242064,161.585963,-0.003932,15.573932,159.769555,0.024627
23.643,140.324442,-0.005235,0.037582,-0.734599,140.324442,1,10.951925,10.616035,-117.651026,161.571845,-0.006363,22.670575,159.944358,0.031219
23.976,136.305625,-0.008299,0.034672,-1.131261,136.305625,1,11.861679,12.263666,-113.634238,161.546285,-0.003453,22.670575,159.944358,0.031219
24.309,139.951431,-0.008125,0.021821,-1.137188,139.951431,1,10.891352,11.147644,-109.964767,161.533615,-0.001598,29.986486,160.172826,0.020223
24.642,135.990305,-0.006416,0.023767,-0.872467,135.990305,1,12.031769,11.762868,-106.002965,161.527285,-0.003544,29.986486,160.172826,0.020223
24.975,139.671726,-0.002813,0.019695,-0.392887,139.671726,1,10.650564,10.344948,-102.507234,161.514895,-0.005757,37.162178,160.317963,0.013938
25.308,135.705091,-0.007361,0.015229,-0.998928,135.705091,1,11.596956,12.213854,-98.5428,161.492072,-0.001291,37.162178,160.317963,0.013938
25.641,139.150299,-0.005781,0.000041,-0.804475,139.150299,1,10.605851,10.518077,-95.025669,161.487532,-0.001926,44.124372,160.415011,-0.001885
25.974,135.136769,-0.009602,-0.003608,-1.297594,135.136769,1,11.800457,12.304528,-91.012196,161.479801,0.001723,44.124372,160.415011,-0.001885
