Time, R_x, R_y, R_Ori, KF_x, KF_y, KF_Ori, KF_q, KF_alpha
28.305000, -1.333153, 137.684909, -0.025561, -1.634244, 138.635702, -0.118966, -0.017722, 0.058043
28.638000, -1.287484, 140.993222, -0.006876, -1.466326, 140.123759, -0.044514, -0.768622, -0.201605
28.971000, -1.598315, 136.755705, -0.009149, -1.576416, 138.029940, -0.007971, -0.599074, 0.227991
29.304000, -1.004606, 133.188345, 0.067700, -1.163833, 135.006412, 0.129949, 0.444174, 0.606762
29.637000, -0.385537, 137.001146, 0.060042, -0.559633, 136.258923, 0.118052, 1.227241, 0.254407
29.970000, -0.481297, 133.245426, 0.059323, -0.465346, 134.378513, 0.045685, 0.768747, 0.413706
30.303000, -0.315765, 129.962448, -0.011794, -0.394650, 131.564661, -0.155134, -0.257881, -0.537067
30.636000, -0.399745, 134.391568, -0.022524, -0.365816, 133.345157, -0.071330, -0.052749, -0.490978
30.969000, -0.191742, 130.903994, -0.020935, -0.193012, 131.814988, -0.103394, 0.172664, 0.102787
31.302000, -0.074301, 134.956337, -0.014636, -0.165363, 133.773264, -0.037036, -0.680741, -0.330406
31.635000, 0.558539, 131.414430, -0.009821, 0.322837, 132.302121, -0.045128, -0.163609, 0.236212
31.968000, 0.442600, 135.842683, 0.010643, 0.346388, 134.499901, -0.031505, -0.512079, -0.484017
32.301000, 0.554851, 132.070700, 0.011493, 0.458420, 133.001119, -0.034803, -0.566162, -0.740447
32.634000, 0.740322, 128.836264, 0.085323, 0.699945, 130.382934, -0.070233, 0.118146, -0.482281
32.967000, 1.489232, 133.404545, 0.080911, 1.172573, 132.285461, 0.029866, -0.121384, -0.334194
33.300000, 1.971833, 130.083601, 0.084621, 1.788161, 130.878907, 0.038571, 0.906436, -0.275261
33.633000, 1.426798, 127.098773, 0.007941, 1.688440, 128.539423, -0.006588, 0.542516, -0.043092
33.966000, 1.260731, 131.433962, -0.001089, 1.405643, 130.337842, 0.006750, -0.393537, 0.010132
34.299000, 0.895138, 128.222433, -0.003940, 1.014731, 129.031185, -0.005011, -0.121494, -0.175177
34.632000, 0.551123, 132.763072, -0.005384, 0.662161, 131.339574, -0.018443, -0.618870, -0.612224
34.965000, 0.083534, 129.458649, -0.008996, 0.213727, 130.187838, -0.077139, -1.082534, -0.936633
35.298000, -0.207265, 133.577848, 0.002263, -0.268298, 132.391105, -0.038809, -1.241683, -0.634169
35.631000, -0.438374, 130.239841, 0.000489, -0.430394, 131.027672, -0.081961, -0.308925, -0.385617
35.964000, -0.538657, 134.351036, 0.001802, -0.642457, 133.151546, -0.036628, -0.845774, -0.051509
36.297000, -0.401590, 130.830943, 0.002850, -0.499021, 131.692907, -0.004179, -0.375193, 0.112179
36.630000, -1.164835, 134.894543, 0.007817, -1.044161, 133.686922, -0.024326, -0.584803, -0.491844
36.963000, -1.833375, 131.363205, 0.002728, -1.655118, 132.258961, -0.041413, -0.865315, -0.536974
37.296000, -2.207909, 135.734236, 0.001957, -2.201116, 134.450977, -0.044728, -1.130668, -0.580038
37.629000, -2.282867, 132.053059, 0.001389, -2.303975, 132.958256, -0.072843, -0.438798, -0.499614
37.962000, -2.491449, 136.246563, 0.000609, -2.572258, 135.056991, -0.036039, -1.390165, -1.018906
38.295000, -1.317125, 132.673863, 0.009461, -1.743823, 133.522049, -0.119472, -0.410984, -0.945596
38.628000, -0.622784, 136.744509, 0.007387, -1.055112, 135.697952, 0.035677, -0.971966, -1.203376
38.961000, -0.862998, 132.987355, 0.005581, -0.911451, 133.914084, -0.132797, -0.123946, -1.175010
39.294000, -0.397164, 136.711052, -0.001661, -0.641593, 135.800186, -0.044899, -0.327475, -0.755781
39.627000, -0.492319, 133.019430, -0.002377, -0.447551, 133.969766, -0.082246, 0.613972, -0.904891
39.960000, -0.562647, 136.882362, -0.001891, -0.587528, 135.846759, -0.089082, 0.012197, -0.391286
40.293000, -0.190804, 133.113549, 0.000903, -0.203791, 134.076517, -0.050889, 0.864013, -0.611533
40.626000, 0.601909, 137.118739, 0.007727, 0.346169, 135.963944, -0.063558, 0.867460, -0.468237
40.959000, 0.937612, 133.464636, 0.010242, 0.921368, 134.346543, -0.031960, 1.137145, -0.462020
41.292000, 0.746684, 137.415481, 0.003949, 0.822188, 136.278691, -0.048621, 0.685281, -0.520995
41.625000, 0.667925, 133.620874, 0.003359, 0.842931, 134.570766, -0.013906, 0.647468, -0.747478
