Time,Distance,dTheta,QRToIMR_Theta, QRToIMR_X,QRToIMR_Y,InRange, LW_Vel,RW_Vel,Pose_x,Pose_y,Pose_Ori,QRPose_x,QRPose_y,QRPose_Ori
19.647,133.357724,0.006697,0.024867,0.893062,133.357724,1,8.492625,8.110149,-581.982223,-1.024836,0.000655,-448.624528,-0.044374,-0.024212
19.98,129.990406,0.012654,0.019083,1.644953,129.990406,1,10.516628,9.717605,-578.613224,-1.022628,-0.005129,-448.624528,-0.044374,-0.024212
20.313,134.3955,0.011935,0.006548,1.604083,134.3955,1,8.953456,8.850895,-575.648839,-1.037832,-0.005871,-441.255655,-0.222821,-0.012419
20.646,130.84163,0.014965,0.003842,1.958152,130.84163,1,10.866871,10.493062,-572.092472,-1.058713,-0.008577,-441.255655,-0.222821,-0.012419
20.979,134.899055,0.017782,0.029454,2.398988,134.899055,1,9.25056,8.771218,-569.091956,-1.08445,-0.012047,-434.173789,-0.310775,0.017407
21.312,131.313997,0.012238,0.023423,1.607135,131.313997,1,10.414688,11.24782,-565.48541,-1.127902,-0.006016,-434.173789,-0.310775,0.017407
21.645,135.2011,0.016128,0.039603,2.180679,135.2011,1,9.493195,9.074149,-562.394003,-1.1465,-0.00905,-427.198439,-0.18934,0.030553
21.978,131.553837,0.015618,0.038646,2.054797,131.553837,1,10.883415,11.015593,-558.747968,-1.179497,-0.008093,-427.198439,-0.18934,0.030553
22.311,135.66862,0.016706,0.047594,2.266699,135.66862,1,9.186881,9.253932,-555.677673,-1.204345,-0.007608,-420.012978,0.030264,0.039986
22.644,132.086195,0.011875,0.042309,1.568659,132.086195,1,10.382624,11.112629,-552.098817,-1.231572,-0.002323,-420.012978,0.030264,0.039986
22.977,135.943261,0.009975,0.006112,1.356012,135.943261,1,9.47015,9.99153,-548.858455,-1.239099,0.001451,-412.915338,0.314225,0.007563
23.31,132.335586,0.014484,0.01035,1.916883,132.335586,1,11.127715,10.54225,-545.25041,-1.233862,-0.002787,-412.915338,0.314225,0.007563
23.643,136.509317,0.015232,0.015579,2.079522,136.509317,1,9.841155,9.754454,-541.987754,-1.242955,-0.003414,-405.479233,0.370462,-0.018993
23.976,132.774715,0.018477,0.012761,2.453555,132.774715,1,11.415007,11.025867,-538.25137,-1.255712,-0.006232,-405.479233,0.370462,-0.018993
24.309,136.712684,0.008876,0.034187,1.213489,136.712684,1,9.313622,10.473303,-534.956911,-1.276242,0.002164,-398.244547,0.233036,-0.032023
24.642,133.162591,0.009464,0.033836,1.260231,133.162591,1,10.684906,10.636418,-531.406919,-1.268561,0.001813,-398.244547,0.233036,-0.032023
24.975,136.983183,0.005589,0.026957,0.765648,136.983183,1,9.707792,9.964366,-528.13151,-1.262624,0.00367,-391.149249,0.005743,-0.023287
25.308,133.275265,0.004097,0.028604,0.546076,133.275265,1,11.024063,11.251645,-524.422629,-1.249013,0.005317,-391.149249,0.005743,-0.023287
25.641,137.068638,0.001533,0.010981,0.21006,137.068638,1,9.901568,10.035153,-521.103212,-1.231362,0.006284,-384.037281,-0.159903,-0.004697
25.974,133.383934,-0.000475,0.013031,-0.063327,133.383934,1,10.929617,11.212742,-517.416582,-1.208193,0.008334,-384.037281,-0.159903,-0.004697
26.307,137.060372,0.003711,0.001871,0.508579,137.060372,1,10.331453,9.663011,-514.08762,-1.180449,0.003495,-377.028085,-0.192828,0.001624
26.64,133.370467,0.002708,0.002976,0.361159,133.370467,1,11.006243,11.158932,-510.397141,-1.16755,0.0046,-377.028085,-0.192828,0.001624
26.973,137.25776,0.006552,0.01018,0.899342,137.25776,1,10.206587,9.643403,-507.092152,-1.152345,0.000524,-369.834411,-0.181149,0.010704
27.306,133.579974,0.005714,0.009162,0.763318,133.579974,1,10.974492,11.115157,-503.414226,-1.15042,0.001542,-369.834411,-0.181149,0.010704
27.639,137.233462,0.00665,0.014759,0.912653,137.233462,1,9.757092,9.670302,-500.179569,-1.145433,0.000914,-362.946164,-0.107415,0.015673
27.972,133.42448,0.009562,0.017481,1.275806,133.42448,1,11.626865,11.250882,-496.370426,-1.141953,-0.001808,-362.946164,-0.107415,0.015673
28.305,137.23991,0.00935,0.009316,1.283185,137.23991,1,9.797605,9.915076,-493.08827,-1.147888,-0.000958,-355.848423,0.003836,0.008358
28.638,133.518243,0.007305,0.007011,0.975429,133.518243,1,11.017153,11.335558,-489.366545,-1.151453,0.001347,-355.848423,0.003836,0.008358
28.971,137.509005,0.0088,0.001695,1.210047,137.509005,1,9.760541,9.575635,-486.147075,-1.147116,0.000009,-348.63807,0.064103,-0.001686
29.304,133.764139,0.008734,0.002007,1.168285,133.764139,1,11.2243,11.267428,-482.402202,-1.147084,0.000321,-348.63807,0.064103,-0.001686
29.637,137.695869,0.00696,0.012975,0.958392,137.695869,1,9.831905,10.0279,-479.095544,-1.146024,0.00174,-341.399884,0.051899,-0.011235
29.97,133.815371,0.007253,0.012883,0.970626,133.815371,1,11.659398,11.646769,-475.215074,-1.139273,0.001648,-341.399884,0.051899,-0.011235
30.303,137.799817,0.010778,0.005152,1.485292,137.799817,1,10.24135,9.63123,-471.906293,-1.13382,-0.002769,-334.107005,-0.030041,-0.007921
